,Data,Timeframe
227,56.7596359865372,1989-07-01
228,56.7596359865372,1989-08-01
229,56.7596359865372,1989-09-01
230,57.2514872515852,1989-10-01
231,57.2514872515852,1989-11-01
232,57.2514872515852,1989-12-01
233,57.7433385166332,1990-01-01
234,57.7433385166332,1990-02-01
235,57.7433385166332,1990-03-01
236,57.9400790226524,1990-04-01
237,57.9400790226524,1990-05-01
238,57.9400790226524,1990-06-01
239,58.4319302877004,1990-07-01
240,58.4319302877004,1990-08-01
241,58.4319302877004,1990-09-01
242,58.7270410467291,1990-10-01
243,58.7270410467291,1990-11-01
244,58.7270410467291,1990-12-01
245,59.2188923117771,1991-01-01
246,59.2188923117771,1991-02-01
247,59.2188923117771,1991-03-01
248,59.7107435768251,1991-04-01
249,59.7107435768251,1991-05-01
250,59.7107435768251,1991-06-01
251,60.4977056009019,1991-07-01
252,60.4977056009019,1991-08-01
253,60.4977056009019,1991-09-01
254,60.8911866129403,1991-10-01
255,60.8911866129403,1991-11-01
256,60.8911866129403,1991-12-01
257,61.3830378779882,1992-01-01
258,61.3830378779882,1992-02-01
259,61.3830378779882,1992-03-01
260,61.8748891430362,1992-04-01
261,61.8748891430362,1992-05-01
262,61.8748891430362,1992-06-01
263,62.169999902065,1992-07-01
264,62.169999902065,1992-08-01
265,62.169999902065,1992-09-01
266,62.2683701550746,1992-10-01
267,62.2683701550746,1992-11-01
268,62.2683701550746,1992-12-01
269,62.5634809141034,1993-01-01
270,62.5634809141034,1993-02-01
271,62.5634809141034,1993-03-01
272,62.4651106610938,1993-04-01
273,62.4651106610938,1993-05-01
274,62.4651106610938,1993-06-01
275,63.0553321791514,1993-07-01
276,63.0553321791514,1993-08-01
277,63.0553321791514,1993-09-01
278,63.2520726851706,1993-10-01
279,63.2520726851706,1993-11-01
280,63.2520726851706,1993-12-01
281,63.645553697209,1994-01-01
282,63.645553697209,1994-02-01
283,63.645553697209,1994-03-01
284,64.137404962257,1994-04-01
285,64.137404962257,1994-05-01
286,64.137404962257,1994-06-01
287,64.6292562273049,1994-07-01
288,64.6292562273049,1994-08-01
289,64.6292562273049,1994-09-01
290,64.7276264803145,1994-10-01
291,64.7276264803145,1994-11-01
292,64.7276264803145,1994-12-01
293,65.2194777453625,1995-01-01
294,65.2194777453625,1995-02-01
295,65.2194777453625,1995-03-01
296,65.9080695164297,1995-04-01
297,65.9080695164297,1995-05-01
298,65.9080695164297,1995-06-01
299,66.2031802754585,1995-07-01
300,66.2031802754585,1995-08-01
301,66.2031802754585,1995-09-01
302,66.3015505284681,1995-10-01
303,66.3015505284681,1995-11-01
304,66.3015505284681,1995-12-01
305,66.5966612874969,1996-01-01
306,66.5966612874969,1996-02-01
307,66.5966612874969,1996-03-01
308,66.8917720465256,1996-04-01
309,66.8917720465256,1996-05-01
310,66.8917720465256,1996-06-01
311,67.1868828055544,1996-07-01
312,67.1868828055544,1996-08-01
313,67.1868828055544,1996-09-01
314,67.5803638175928,1996-10-01
315,67.5803638175928,1996-11-01
316,67.5803638175928,1996-12-01
317,67.2813356591079,1997-01-01
318,67.6800398704212,1997-02-01
319,67.7797159232494,1997-03-01
320,67.7797159232494,1997-04-01
321,67.9790680289061,1997-05-01
322,68.1784201345627,1997-06-01
323,68.0787440817344,1997-07-01
324,67.9790680289061,1997-08-01
325,68.278096187391,1997-09-01
326,68.4774482930476,1997-10-01
327,68.6768003987042,1997-11-01
328,68.8761525043608,1997-12-01
329,68.4774482930476,1998-01-01
330,68.7764764515326,1998-02-01
331,69.1751806628458,1998-03-01
332,69.4742088213307,1998-04-01
333,69.7732369798156,1998-05-01
334,70.0722651383005,1998-06-01
335,69.9725890854722,1998-07-01
336,70.0722651383005,1998-08-01
337,70.3712932967855,1998-09-01
338,70.3712932967855,1998-10-01
339,70.1719411911288,1998-11-01
340,70.0722651383005,1998-12-01
341,69.4742088213307,1999-01-01
342,69.8729130326439,1999-02-01
343,70.0722651383005,1999-03-01
344,70.4709693496138,1999-04-01
345,70.7699975080987,1999-05-01
346,70.9693496137553,1999-06-01
347,70.7699975080987,1999-07-01
348,71.1687017194119,1999-08-01
349,71.3680538250686,1999-09-01
350,71.4677298778969,1999-10-01
351,71.5674059307252,1999-11-01
352,72.4644904061799,1999-12-01
353,72.2651383005233,2000-01-01
354,72.8631946174932,2000-02-01
355,73.3615748816347,2000-03-01
356,73.8599551457762,2000-04-01
357,74.4580114627461,2000-05-01
358,74.9563917268876,2000-06-01
359,75.1557438325443,2000-07-01
360,75.5544480438575,2000-08-01
361,75.8534762023424,2000-09-01
362,76.351856466484,2000-10-01
363,76.6508846249689,2000-11-01
364,76.6508846249689,2000-12-01
365,76.052828307999,2001-01-01
366,76.7505606777972,2001-02-01
367,77.348616994767,2001-03-01
368,78.0463493645652,2001-04-01
369,78.5447296287067,2001-05-01
370,78.94343384002,2001-06-01
371,78.7440817343634,2001-07-01
372,78.94343384002,2001-08-01
373,79.3421380513332,2001-09-01
374,79.5414901569898,2001-10-01
375,79.5414901569898,2001-11-01
376,79.940194368303,2001-12-01
377,79.8405183154747,2002-01-01
378,80.3388985796162,2002-02-01
379,81.0366309494144,2002-03-01
380,81.7343633192126,2002-04-01
381,82.2327435833541,2002-05-01
382,82.3324196361824,2002-06-01
383,81.9337154248692,2002-07-01
384,82.4320956890107,2002-08-01
385,82.830799900324,2002-09-01
386,83.2295041116372,2002-10-01
387,83.3291801644655,2002-11-01
388,83.9272364814354,2002-12-01
389,83.6282083229504,2003-01-01
390,84.4256167455769,2003-02-01
391,85.0236730625468,2003-03-01
392,85.2230251682034,2003-04-01
393,85.123349115375,2003-05-01
394,85.2230251682034,2003-06-01
